Types of expenses:
46001	Air Travel
3200630	MVR - Rufiyaa
3200628	MWK - Malawi Kwacha
3500505	MXN - Mexican Peso
3200629	MYR - Malaysian Ringgit
3200643	MZN - Metical
3200645	NAD - Namibia Dollar
3200654	NGN - Naira
3200652	NIO - Cordoba Oro
3200658	NOK - Norwegian Krone
3200647	NPR - Nepalese Rupee
3200651	NZD - New Zealand Dollar
3200659	OMR - Rial Omani
3200662	PAB - Balboa
3200665	PEN - Nuevo Sol
3200663	PGK - Kina
3200666	PHP - Philippine Peso
3200660	PKR - Pakistan Rupee
3200668	PLN - Zloty
3200664	PYG - Guarani
3200671	QAR - Qatari Rial
3200673	RON - New Romanian Leu
-1994643570	RSD - Serbian Dinar
3200674	RUB - Russian Ruble
3200675	RWF - Rwanda Franc
3200684	SAR - Saudi Riyal
3200690	SBD - Solomon Islands Dollar
3074953	SCR - Seychelles Rupee
3200695	SDG - Sudanese Pound
3200699	SEK - Swedish Krona
3200687	SGD - Singapore Dollar
3200676	SHP - Saint Helena Pound
3200689	SIT - Tolar
3200688	SKK - Slovak Koruna
3200686	SLL - Leone
3200691	SOS - Somali Shilling
3200696	SRD - Surinam Dollar
3200683	STD - Dobra
3500568	SVC - El Salvador Colon
3200701	SYP - Syrian Pound
3200698	SZL - Lilangeni
3200705	THB - Baht
3074897	TJS - Somoni
-1972225651	TMT - Turkmenistan New Manat
3200710	TND - Tunisian Dinar
3200708	TOP - Pa'anga
3074917	TPE - Timor Escudo
3074966	TRY - Turkish New Lira
3200709	TTD - Trinidad and Tobago Dollar
3200702	TWD - Taiwan Dollar
3200704	TZS - Tanzanian Shilling
3074887	UAH - Hryvnia
3074886	UGX - Uganda Shilling
3500501	USD - US Dollar
3200719	UYU - Peso Uruguayo
3200720	UZS - Uzbekistan Sum
3200723	VEB - Bolivar
-1992873540	VEF - Venezuelan bolivar fuerte
3200724	VND - Dong
3200721	VUV - Vatu
3074950	WST - Tala
3500543	XAF - CFA Franc BEAC
3500515	XCD - East Caribbean Dollar
3500540	XOF - CFA Franc BCEAO
3500578	XPF - CFP Franc
3200729	YER - Yemeni Rial
3074965	YUM - Yugoslavian Dinar
3200692	ZAR - Rand
3200732	ZMK - Zambia Kwacha
3200733	ZWD - Zimbabwe Dollar

type:FromTo (for car service/taxi)
-1999888587	Airport
-1999888583	Client
-1999888591	Home
-1999888579	Hotel
-1999888575	Office
-1999888571	Other
-1986917620	Train Station</option>
